key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
career entrepreneur,career entrepreneur,doanh nhân điều hành,doanh nhân điều hành,"someone who takes on the daily management as the owner of the venture, accepting, and perhaps enjoying, the daily risks and rewards of managing and building the venture","người trực tiếp đảm nhiệm việc quản lý hằng ngày với tư cách là chủ sở hữu doanh nghiệp, chấp nhận và thậm chí tận hưởng những rủi ro và phần thưởng gắn liền với quá trình vận hành và phát triển doanh nghiệp",Chương 1,approved,Source: glossary.md — Chương 1
disruptive technology,disruptive technology,công nghệ đột phá,công nghệ đột phá,"technology that once introduced, displaces established patterns, processes, and systems previously accepted as normal or accepted methods","công nghệ khi được giới thiệu sẽ thay thế các mô hình, quy trình và hệ thống đã được chấp nhận trước đó như là chuẩn mực",Chương 1,approved,Source: glossary.md — Chương 1
divergent thinking,divergent thinking,tư duy khác biệt,tư duy khác biệt,"process of generating as many ideas as possible, even when those ideas do not seem logical; the list of ideas can be conflicting, diverse, and disparate","quá trình tạo ra càng nhiều ý tưởng càng tốt, ngay cả khi những ý tưởng đó có vẻ không hợp lý; các ý tưởng có thể mâu thuẫn, đa dạng và rời rạc",Chương 1,approved,Source: glossary.md — Chương 1
due diligence,due diligence,thẩm định kỹ lưỡng,thẩm định kỹ lưỡng,conducting the necessary research and investigation to make informed decisions that minimize risk,quá trình tiến hành nghiên cứu và điều tra cần thiết nhằm đưa ra các quyết định có cơ sở và giảm thiểu rủi ro,"Chương 1, Chương 2",approved,"Source: glossary.md — Chương 1, Chương 2"
entrepreneur,entrepreneur,doanh nhân/nhà khởi nghiệp,doanh nhân/nhà khởi nghiệp,someone who identifies an idea that no one else has acted on or identified; small business ownership and franchising are also entrepreneurial options,người nhận diện một ý tưởng mà chưa ai phát hiện hoặc triển khai; việc sở hữu doanh nghiệp nhỏ hoặc nhượng quyền cũng được xem là các hình thức khởi nghiệp,Chương 1,approved,Source: glossary.md — Chương 1
entrepreneurial mindset,entrepreneurial mindset,tư duy khởi nghiệp,tư duy khởi nghiệp,"awareness and focus on identifying an opportunity through solving a problem, and a willingness to move forward to advance that idea","nhận diện cơ hội thông qua việc giải quyết vấn đề, đi kèm với sự sẵn sàng hành động để hiện thực hóa ý tưởng đó",Chương 1,approved,Source: glossary.md — Chương 1
entrepreneurial venture,entrepreneurial venture,dự án khởi nghiệp,dự án khởi nghiệp,"any business, organization, project, or operation of interest that includes a level of risk in acting on an opportunity that has not previously been established","bất kỳ hoạt động kinh doanh, tổ chức hoặc dự án nào có yếu tố rủi ro khi khai thác một cơ hội chưa từng được triển khai trước đó","Chương 1, Chương 2",approved,"Source: glossary.md — Chương 1, Chương 2"
entrepreneurial vision,entrepreneurial vision,tầm nhìn khởi nghiệp,tầm nhìn khởi nghiệp,"idea of what an entrepreneur wants a venture to become, what it will look like, what the driving forces are, and what values and culture should surround it","hình dung về trạng thái tương lai của doanh nghiệp, bao gồm hình thái hoạt động, các động lực chính, cũng như các giá trị và văn hóa định hướng",Chương 1,approved,Source: glossary.md — Chương 1
harvest,harvest,thoái vốn,thoái vốn,"point at which the venture is sold, at which time the investors receive a return on their investment","thời điểm doanh nghiệp được bán hoặc chuyển nhượng, khi đó các nhà đầu tư thu được lợi nhuận từ khoản đầu tư của mình",Chương 1,approved,Source: glossary.md — Chương 1
lifestyle venture,lifestyle venture,khởi nghiệp theo phong cách sống,khởi nghiệp theo phong cách sống,"business whose founders’ primary focus is the lifestyle they will attain through becoming entrepreneurs, rather than a primary interest in financial rewards","doanh nghiệp mà mục tiêu chính của người sáng lập là đạt được phong cách sống mong muốn, thay vì tối đa hóa lợi nhuận tài chính",Chương 1,approved,Source: glossary.md — Chương 1
mission statement,mission statement,tuyên bố sứ mệnh,tuyên bố sứ mệnh,"statement of an organization’s reason for being that defines its primary long-term goal, explains what the venture will do, what value it will provide to the end customer, and how it will accomplish that action","tuyên bố về lý do tồn tại của tổ chức, xác định mục tiêu dài hạn, mô tả doanh nghiệp sẽ làm gì, tạo ra giá trị gì cho khách hàng và cách thức thực hiện","Chương 1, Chương 7",approved,"Source: glossary.md — Chương 1, Chương 7"
