key,translation,options,desc_en,desc_vi,chapter,status,notes
"adler"                                                                    , "Adler"                                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"airbnb"                                                                   , "Airbnb"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"algae energy pavilion"                                                    , "algae energy pavilion"                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"angel investor"                                                           , "angel investor"                                                           , "", "", "", 1, "approved", "Tên riêng, không dịch"
"blumenthal"                                                               , "Blumenthal"                                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"brainstorming"                                                            , "Brainstorming"                                                            , "", "", "", 1, "approved", "Tên riêng, không dịch"
"burt’s bees"                                                              , "Burt’s Bees"                                                              , "", "", "", 1, "approved", "Tên riêng, không dịch"
"burt’s bees corporation"                                                  , "Burt’s Bees Corporation"                                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"calculated risk"                                                          , "calculated risk"                                                          , "", "", "", 1, "approved", "Tên riêng, không dịch"
"career entrepreneur"                                                      , "doanh nhân theo đuổi sự nghiệp lâu dài"                                   , "doanh nhân theo đuổi sự nghiệp lâu dài", "someone who takes on the daily management as the owner of the venture, accepting, and perhaps enjoying, the daily risks and rewards of managing and building the venture", "người trực tiếp đảm nhiệm việc quản lý hằng ngày với tư cách là chủ sở hữu doanh nghiệp, chấp nhận và thậm chí tận hưởng những rủi ro và phần thưởng gắn liền với quá trình vận hành và phát triển doanh nghiệp", 1, "approved", ""
"christensen"                                                              , "Christensen"                                                              , "", "", "", 1, "approved", "Tên riêng, không dịch"
"clorox co."                                                               , "Clorox Co."                                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"coastal tractor"                                                          , "Coastal Tractor"                                                          , "", "", "", 1, "approved", "Tên riêng, không dịch"
"creative thinking process"                                                , "creative thinking process"                                                , "", "", "", 1, "approved", "Tên riêng, không dịch"
"daryani"                                                                  , "Daryani"                                                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"disruptive technology"                                                    , "công nghệ đột phá"                                                        , "công nghệ đột phá", "technology that once introduced, displaces established patterns, processes, and systems previously accepted as normal or accepted methods", "công nghệ khi được giới thiệu sẽ thay thế các mô hình, quy trình và hệ thống đã được chấp nhận trước đó như là chuẩn mực", 1, "approved", ""
"divergent thinking"                                                       , "tư duy phân kỳ"                                                           , "tư duy phân kỳ", "process of generating as many ideas as possible, even when those ideas do not seem logical; the list of ideas can be conflicting, diverse, and disparate", "quá trình tạo ra càng nhiều ý tưởng càng tốt, ngay cả khi những ý tưởng đó có vẻ không hợp lý; các ý tưởng có thể mâu thuẫn, đa dạng và rời rạc", 1, "approved", ""
"due diligence"                                                            , "thẩm định kỹ lưỡng"                                                       , "thẩm định kỹ lưỡng", "conducting the necessary research and investigation to make informed decisions that minimize risk", "quá trình tiến hành nghiên cứu và điều tra cần thiết nhằm đưa ra các quyết định có cơ sở và giảm thiểu rủi ro", 1, "approved", ""
"dunkin"                                                                   , "Dunkin"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"dunkin’ donuts"                                                           , "Dunkin’ Donuts"                                                           , "", "", "", 1, "approved", "Tên riêng, không dịch"
"edison"                                                                   , "Edison"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
