Entrepreneur in Action Translations Check

Found 168 translated files. Scanning...

Chapter      | File                                                    | Tag        | ENG Text                                           | VN Text                                            | Status
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
chapter-1    | 1-1-entrepreneurship-today.html                         | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-1    | 1-2-entrepreneurial-vision-and-goals.html               | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-10   | 10-1-launching-the-imperfect-business-lean-startup.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-10   | 10-1-launching-the-imperfect-business-lean-startup.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-11   | 11-1-avoiding-the-field-of-dreams-approach.html         | span       | Entrepreneur In Action                             | Doanh nhân hành động                               | Translated (exact matching sibling tag)
chapter-11   | 11-4-the-business-plan.html                             | span       | Entrepreneur In Action                             | Doanh nhân hành động                               | Translated (exact matching sibling tag)
chapter-12   | 12-1-building-and-connecting-to-networks.html           | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (bilingual block container)
chapter-12   | 12-3-designing-a-startup-operational-plan.html          | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (bilingual block container)
chapter-12   | 12-3-designing-a-startup-operational-plan.html          | a          | Entrepreneur in Action: Scheduling Sounds Simple   | Doanh nhân đang hành động: Lập kế hoạch nghe ...   | Translated (exact matching sibling tag)
chapter-13   | 13-5-sole-proprietorships.html                          | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (bilingual block container)
chapter-14   | 14-1-types-of-resources.html                            | span       | Entrepreneur In Action                             | Doanh nhân trong Hành động                         | Translated (exact matching sibling tag)
chapter-2    | 2-1-overview-of-the-entrepreneurial-journey.html        | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-2    | 2-1-overview-of-the-entrepreneurial-journey.html        | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-2    | 2-3-entrepreneurial-pathways.html                       | a          | Entrepreneur in Action: Gordon Moore and Fair...   | Doanh nhân thực chiến: Gordon Moore và Fairch...   | Translated (exact matching sibling tag)
chapter-2    | 2-3-entrepreneurial-pathways.html                       | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-3    | 3-2-corporate-social-responsibility-and-social-entrepreneurship.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-3    | 3-3-developing-a-workplace-culture-of-ethical-excellence-and-accountability.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-3    | 3-3-developing-a-workplace-culture-of-ethical-excellence-and-accountability.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-4    | 4-2-creativity-innovation-and-invention-how-they-differ.html | span       | Entrepreneur In Action                             | Doanh nhân hành động                               | Translated (exact matching sibling tag)
chapter-5    | 5-1-entrepreneurial-opportunity.html                    | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-5    | 5-1-entrepreneurial-opportunity.html                    | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-5    | 5-1-identifying-entrepreneurial-opportunity.html        | h4         | Entrepreneur in Action: Sara Blakely and Spanx     | Doanh nhân thực chiến: Sara Blakely và Spanx       | Translated (bilingual block container)
chapter-5    | 5-2-researching-potential-business-opportunities.html   | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-5    | 5-2-researching-potential-business-opportunities.html   | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-6    | 6-2-creative-problem-solving-process.html               | span       | Entrepreneur In Action                             | Doanh nhân hành động                               | Translated (exact matching sibling tag)
chapter-6    | 6-3-design-thinking.html                                | span       | Entrepreneur In Action                             | Doanh nhân hành động                               | Translated (exact matching sibling tag)
chapter-6    | 6-4-lean-processes.html                                 | span       | Entrepreneur In Action                             | Doanh nhân hành động                               | Translated (exact matching sibling tag)
chapter-8    | 8-2-market-research-market-opportunity-recognition-and-target-market.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
chapter-9    | 9-1-overview-of-entrepreneurial-finance-and-accounting-strategies.html | span       | Entrepreneur In Action                             | Doanh nhân thực chiến                              | Translated (exact matching sibling tag)
